nama_sppg,alamat,provinsi,kab_kota,kecamatan,desa
"SPPG Bogor Tamansari Sukamantri 5","Gang Sawah, Sukamantri, Kecamatan Tamansari, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","TAMANSARI","SUKAMANTRI"
"SPPG Bogor Bojong Gede Ragajaya 2","Jl. Raya Citayam Parung No.1 Ragajaya, Kec. Bojong Gede, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","BOJONG GEDE","RAGAJAYA"
"SPPG Bogor Kemang Jampang","Jalan Raya jakarta Bogor, Jampang, Kemang, Kabupaten Bogor, JAMPANG, KEMANG, KAB. BOGOR, JAWA BARAT","JAWA BARAT","BOGOR","KEMANG","JAMPANG"
"SPPG Bogor Leuwiliang Barengkok 2","Kampung Geledug Rt 005 Rw 003, Barengkok, Kec. Leuwiliang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWILIANG","BARENGKOK"
"SPPG Bogor Bojong Gede Ragajaya","Jl. Raya Citayam - Parung No.1, Ragajaya, Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat 16920","JAWA BARAT","BOGOR","BOJONG GEDE","RAGAJAYA"
"SPPG Bogor Cileungsi Limusnunggal","Jl. Raya Narogong Cileungsi No 8 dan 9 Rt 001/004 Desa Limus Nunggal, Kecamatan Cileungsi, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","LIMUSNUNGGAL"
"SPPG Bogor Cibinong Nanggewer Mekar 1","Perumahan Puri Alam Kencana 2, blok N 1 Nomor 5, Desa Nanggewer Mekar, Kecamatan Cibinong, Kabupaten Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","NANGGEWER MEKAR"
"SPPG Bogor Ciomas Ciapus","Ciherang Cutak No.11 Rt 04 Rw 05, Desa Ciapus, Kecamatan Ciomas, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIOMAS","CIAPUS"
"SPPG Bogor Bojong Gede Waringinjaya 2","Jl. Tanah Baru No. 120, Waringin Jaya, Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","BOJONG GEDE","WARINGINJAYA"
"SPPG Kota Bogor Tanah Sareal Mekar Wangi 3","Kampung Sumurwangi Rt03 Rw05, Kelurahan Mekarwangi, Kecamatan Tanah Sareal, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","TANAH SAREAL","MEKAR WANGI"
"SPPG Bogor Gunung Sindur Jampang","Kampung Nambo, Jampang, Kec. Gunung Sindur, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG SINDUR","JAMPANG"
"SPPG Bogor Cibinong Karadenan 3","Jl. R. Aspia, Kel. Karadenan, Kecamatan Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","KARADENAN"
"SPPG Kota Bogor Bogor Utara Bantarjati 3","Jl. Ceremai Ujung No.210 Rt.04 Rw.12 Kelurahan Bantarjati, Kecamatan Bogor Utara, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR UTARA","BANTARJATI"
"SPPG Bogor Cijeruk Palasari","Jl. Campedak No.1, RT001/RW007, Desa Palasari, Kecamatan Cijeruk, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIJERUK","PALASARI"
"SPPG Bogor Bojong Gede Waringinjaya 2","Jl. Tanah Baru No. 120, Waringin Jaya, Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","BOJONG GEDE","WARINGINJAYA"
"SPPG Bogor Nanggung Hambaro","Jl. Raya Pasir Eurih Rt 002/Rw 005 Desa Hambaro, Kec. Nanggung, Kab.Bogor","JAWA BARAT","BOGOR","NANGGUNG","HAMBARO"
"SPPG Bogor Cileungsi Cileungsi 4","Jl. Camat Enjan No. 12 Rt 03 Rw 10, Cileungsi, Kec. Cileungsi, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","CILEUNGSI"
"SPPG Kota Bogor Tanah Sareal Mekar Wangi 3","Kampung Sumurwangi Rt03 Rw05, Kelurahan Mekarwangi, Kecamatan Tanah Sareal, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","TANAH SAREAL","MEKAR WANGI"
"SPPG Bogor Cibinong Nanggewer Mekar 1","Perumahan Puri Alam Kencana 2, blok N 1 Nomor 5, Desa Nanggewer Mekar, Kecamatan Cibinong, Kabupaten Bogor, Provinsi Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","NANGGEWER MEKAR"
"SPPG Bogor Cisarua Citeko 2","Citeko, Kecamatan Cisarua, Kabupaten Bogor, Jawa Barat 16750","JAWA BARAT","BOGOR","CISARUA","CITEKO"
"SPPG Bogor Nanggung Hambaro","Jl. Raya Pasir Eurih Rt 002/Rw 005 Desa Hambaro, Kec. Nanggung, Kab.Bogor","JAWA BARAT","BOGOR","NANGGUNG","HAMBARO"
"SPPG Bogor Ciseeng Babakan 4","Klinik Aria dr Kartiena Jalan Cibeuteung Udik RT 05 RW 03 (Depan Al Manar)","JAWA BARAT","BOGOR","CISEENG","BABAKAN"
"SPPG Bogor Cisarua Citeko 2","Citeko, Kecamatan Cisarua, Kabupaten Bogor, Jawa Barat 16750","JAWA BARAT","BOGOR","CISARUA","CITEKO"
"SPPG Bogor Cijeruk Palasari","Jl. Campedak No.1, RT001/RW007, Desa Palasari, Kecamatan Cijeruk, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIJERUK","PALASARI"
"SPPG Bogor Rumpin Kampungsawah 2","Kavling A, Kampung Bojong, Rt.07/Rw.02, Desa Kampung Sawah, Kecamatan Rumpin, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","RUMPIN","KAMPUNGSAWAH"
"SPPG Kota Bogor Bogor Utara Tanah Baru 1","Komplek Baranangsiang 4 Blok D Ujung, RT 01/RW 10, Tanah Baru, Bogor Utara, Kota Bogor","JAWA BARAT","KOTA BOGOR","BOGOR UTARA","TANAH BARU"
"SPPG Bogor Bojong Gede Rawapanjang","Jl. Kampung Panjang RT 1 RW 17, Rawa Panjang, Bojonggede","JAWA BARAT","BOGOR","BOJONG GEDE","RAWAPANJANG"
"SPPG Bogor Parung Panjang Kabasiran 4","Kabasiran, Kec. Parungpanjang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","PARUNG PANJANG","KABASIRAN"
"SPPG Bogor Leuwiliang Karacak","Karacak, Kecamatan Leuwiliang, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWILIANG","KARACAK"
"SPPG Kota Bogor Bogor Utara Tanah Baru 2","Jl. Pangeran Sogiri No 137 RT 003/ RW 004, Tanah Baru, Bogor Utara, Kota Bogor","JAWA BARAT","KOTA BOGOR","BOGOR UTARA","TANAH BARU"
"SPPG Kota Bogor Bogor Barat Cilendek Barat 1","Jl. Brigjen Saptadji Hadiprawira No.86, RT.03/RW.06, Cilendek Barat, Bogor Barat, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR BARAT","CILENDEK BARAT"
"SPPG Bogor Bojong Gede Waringinjaya 2","Jl. Tanah Baru No. 120, Waringin Jaya, Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","BOJONG GEDE","WARINGINJAYA"
"SPPG Bogor Nanggung Batu Tulis","Jl. Ace Tabrani KP. Pasir Gintung 002/004, Batu Tulis, Nanggung, Bogor, Jawa Barat","JAWA BARAT","BOGOR","NANGGUNG","BATU TULIS"
"SPPG Bogor Babakan Madang Babakan Madang","Kampung Babakan Madang, RT.001/RW.003, Kec. Babakan Madang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","BABAKAN MADANG","BABAKAN MADANG"
"SPPG Bogor Cileungsi Cipeucang","Jl. Kampung Tegal, Cipeucang, Kec. Cileungsi, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","CIPEUCANG"
"SPPG Kota Bogor Bogor Barat Pasir Kuda 3","Jl. Jabaru 2 No 13 Kel. Pasirkuda, Kec. Bogor Barat, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR BARAT","PASIR KUDA"
"SPPG Bogor Tamansari Tamansari 2","Jl. Kaptem Yusuf Tamansari, Tamansari, Tamansari, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TAMANSARI","TAMANSARI"
"SPPG Bogor Leuwiliang Cibeber II","Jl, Babkan No 9, Cibeber Ii, Kecamatan Leuwiliang, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWILIANG","CIBEBER II"
"SPPG Bogor Cileungsi Cileungsi 6","Jl. Cikalagan, Cileungsi, Kec. Cileungsi, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","CILEUNGSI"
"SPPG Bogor Parung Panjang Cibunar","Kampung Rancabelut Rt 01 Rw 08, Cibunar, Kec. Parung Panjang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","PARUNG PANJANG","CIBUNAR"
"SPPG Bogor Cigombong Srogol","Jl. Raya Sukabumi Km. 20 Srogol, Kecamatan Cigombong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIGOMBONG","SROGOL"
"SPPG Bogor Ciseeng Karihkil","Kampung Warung Jengkol Rt 004 Rw 004, Karihkil, Kec. Ciseeng, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CISEENG","KARIHKIL"
"SPPG Bogor Kemang Kemang 2","Gang Masjid, Kemang, Kec. Kemang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","KEMANG","KEMANG"
"SPPG Bogor Leuwiliang Cibeber II","Jl, Babkan No 9, Cibeber Ii, Kecamatan Leuwiliang, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWILIANG","CIBEBER II"
"SPPG Kota Bogor Bogor Barat Pasir Kuda 3","Jl. Jabaru 2 No 13 Kel. Pasirkuda, Kec. Bogor Barat, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR BARAT","PASIR KUDA"
"SPPG Bogor Babakan Madang Babakan Madang","Kampung Babakan Madang, RT.001/RW.003, Kec. Babakan Madang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","BABAKAN MADANG","BABAKAN MADANG"
"SPPG Bogor Nanggung Batu Tulis","Jl. Ace Tabrani KP. Pasir Gintung 002/004, Batu Tulis, Nanggung, Bogor, Jawa Barat","JAWA BARAT","BOGOR","NANGGUNG","BATU TULIS"
"SPPG Bogor Tamansari Tamansari 2","Jl. Kaptem Yusuf Tamansari, Tamansari, Tamansari, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TAMANSARI","TAMANSARI"
"SPPG Bogor Cileungsi Cipeucang","Jl. Kampung Tegal, Cipeucang, Kec. Cileungsi, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","CIPEUCANG"
"SPPG Bogor Kemang Tegal 2","Tegal Kel. Kemang, Kec. Kemang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","KEMANG","TEGAL"
"SPPG Bogor Cigombong Srogol","Jl. Raya Sukabumi Km. 20 Srogol, Kecamatan Cigombong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIGOMBONG","SROGOL"
"SPPG Bogor Cibinong Sukahati 5","Jl. Raya Sukahati, Sukahati, Kecamatan Cibinong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIBINONG","SUKAHATI"
"SPPG Kota Bogor Bogor Barat Pasir Mulya","JL. PAGENTONGAN 1 NO. 1 RT 04 RW 06 KELURAHAN PASIR MULYA KECAMATAN BOGOR BARAT KOTA BOGOR PROVINSI JAWA BARAT","JAWA BARAT","KOTA BOGOR","BOGOR BARAT","PASIR MULYA"
"SPPG Bogor Jasinga Sipak","Jl. Raya Jasinga, Kampung Sipak Rt 005 Rw 006, Desa Sipak, Kec. Jasinga Kab. Bogor Jawa Barat","JAWA BARAT","BOGOR","JASINGA","SIPAK"
"SPPG Bogor Cileungsi Cileungsi 6","Jl. Cikalagan, Cileungsi, Kec. Cileungsi, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","CILEUNGSI"
"SPPG Bogor Cileungsi Cipeucang","Jl. Kampung Tegal, Cipeucang, Kec. Cileungsi, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CILEUNGSI","CIPEUCANG"
"SPPG Bogor Parung Panjang Cibunar","Kampung Rancabelut Rt 01 Rw 08, Cibunar, Kec. Parung Panjang, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","PARUNG PANJANG","CIBUNAR"
